value,datetime,datetime_utc,tz_time,geo_id,geo_name
17872.0,2026-09-23 00:00:00+02:00,2026-09-22T22:00:00Z,2026-09-22T22:00:00.000Z,8741,Península
8485.0,2026-09-23 01:00:00+02:00,2026-09-22T23:00:00Z,2026-09-22T23:00:00.000Z,8741,Península
15256.0,2026-09-23 02:00:00+02:00,2026-09-23T00:00:00Z,2026-09-23T00:00:00.000Z,8741,Península
14202.0,2026-09-23 03:00:00+02:00,2026-09-23T01:00:00Z,2026-09-23T01:00:00.000Z,8741,Península
3415.0,2026-09-23 04:00:00+02:00,2026-09-23T02:00:00Z,2026-09-23T02:00:00.000Z,8741,Península
13025.0,2026-09-23 05:00:00+02:00,2026-09-23T03:00:00Z,2026-09-23T03:00:00.000Z,8741,Península
12773.0,2026-09-23 06:00:00+02:00,2026-09-23T04:00:00Z,2026-09-23T04:00:00.000Z,8741,Península
12762.0,2026-09-23 07:00:00+02:00,2026-09-23T05:00:00Z,2026-09-23T05:00:00.000Z,8741,Península
11394.0,2026-09-23 08:00:00+02:00,2026-09-23T06:00:00Z,2026-09-23T06:00:00.000Z,8741,Península
9384.0,2026-09-23 09:00:00+02:00,2026-09-23T07:00:00Z,2026-09-23T07:00:00.000Z,8741,Península
2073.0,2026-09-23 10:00:00+02:00,2026-09-23T08:00:00Z,2026-09-23T08:00:00.000Z,8741,Península
7408.0,2026-09-23 11:00:00+02:00,2026-09-23T09:00:00Z,2026-09-23T09:00:00.000Z,8741,Península
6805.0,2026-09-23 12:00:00+02:00,2026-09-23T10:00:00Z,2026-09-23T10:00:00.000Z,8741,Península
6937.0,2026-09-23 13:00:00+02:00,2026-09-23T11:00:00Z,2026-09-23T11:00:00.000Z,8741,Península
7025.0,2026-09-23 14:00:00+02:00,2026-09-23T12:00:00Z,2026-09-23T12:00:00.000Z,8741,Península
7968.0,2026-09-23 15:00:00+02:00,2026-09-23T13:00:00Z,2026-09-23T13:00:00.000Z,8741,Península
