value,datetime,datetime_utc,tz_time,geo_id,geo_name
36471.0,2025-04-11 11:00:00+02:00,2025-04-11T09:00:00Z,2025-04-11T09:00:00.000Z,8741,Península
9728.0,2025-04-11 12:00:00+02:00,2025-04-11T10:00:00Z,2025-04-11T10:00:00.000Z,8741,Península
9739.0,2025-04-11 13:00:00+02:00,2025-04-11T11:00:00Z,2025-04-11T11:00:00.000Z,8741,Península
9404.0,2025-04-11 14:00:00+02:00,2025-04-11T12:00:00Z,2025-04-11T12:00:00.000Z,8741,Península
8880.0,2025-04-11 15:00:00+02:00,2025-04-11T13:00:00Z,2025-04-11T13:00:00.000Z,8741,Península
8540.0,2025-04-11 16:00:00+02:00,2025-04-11T14:00:00Z,2025-04-11T14:00:00.000Z,8741,Península
8430.0,2025-04-11 17:00:00+02:00,2025-04-11T15:00:00Z,2025-04-11T15:00:00.000Z,8741,Península
8108.0,2025-04-11 18:00:00+02:00,2025-04-11T16:00:00Z,2025-04-11T16:00:00.000Z,8741,Península
7532.0,2025-04-11 19:00:00+02:00,2025-04-11T17:00:00Z,2025-04-11T17:00:00.000Z,8741,Península
7260.0,2025-04-11 20:00:00+02:00,2025-04-11T18:00:00Z,2025-04-11T18:00:00.000Z,8741,Península
9120.0,2025-04-11 21:00:00+02:00,2025-04-11T19:00:00Z,2025-04-11T19:00:00.000Z,8741,Península
9193.0,2025-04-11 22:00:00+02:00,2025-04-11T20:00:00Z,2025-04-11T20:00:00.000Z,8741,Península
8219.0,2025-04-11 23:00:00+02:00,2025-04-11T21:00:00Z,2025-04-11T21:00:00.000Z,8741,Península
7977.0,2025-04-12 00:00:00+02:00,2025-04-11T22:00:00Z,2025-04-11T22:00:00.000Z,8741,Península
7275.0,2025-04-12 01:00:00+02:00,2025-04-11T23:00:00Z,2025-04-11T23:00:00.000Z,8741,Península
6368.0,2025-04-12 02:00:00+02:00,2025-04-12T00:00:00Z,2025-04-12T00:00:00.000Z,8741,Península
22905.0,2025-04-12 03:00:00+02:00,2025-04-12T01:00:00Z,2025-04-12T01:00:00.000Z,8741,Península
5469.0,2025-04-12 04:00:00+02:00,2025-04-12T02:00:00Z,2025-04-12T02:00:00.000Z,8741,Península
4815.0,2025-04-12 05:00:00+02:00,2025-04-12T03:00:00Z,2025-04-12T03:00:00.000Z,8741,Península
4638.0,2025-04-12 06:00:00+02:00,2025-04-12T04:00:00Z,2025-04-12T04:00:00.000Z,8741,Península
4130.0,2025-04-12 07:00:00+02:00,2025-04-12T05:00:00Z,2025-04-12T05:00:00.000Z,8741,Península
3692.0,2025-04-12 08:00:00+02:00,2025-04-12T06:00:00Z,2025-04-12T06:00:00.000Z,8741,Península
3613.0,2025-04-12 09:00:00+02:00,2025-04-12T07:00:00Z,2025-04-12T07:00:00.000Z,8741,Península
3272.0,2025-04-12 10:00:00+02:00,2025-04-12T08:00:00Z,2025-04-12T08:00:00.000Z,8741,Península
3172.0,2025-04-12 11:00:00+02:00,2025-04-12T09:00:00Z,2025-04-12T09:00:00.000Z,8741,Península
2981.0,2025-04-12 12:00:00+02:00,2025-04-12T10:00:00Z,2025-04-12T10:00:00.000Z,8741,Península
2561.0,2025-04-12 13:00:00+02:00,2025-04-12T11:00:00Z,2025-04-12T11:00:00.000Z,8741,Península
2753.0,2025-04-12 14:00:00+02:00,2025-04-12T12:00:00Z,2025-04-12T12:00:00.000Z,8741,Península
