timestamp_local,date,hour,value_mw
2025-04-12 00:00:00+02:00,2025-04-12,00:00,30466.0
2025-04-12 01:00:00+02:00,2025-04-12,01:00,27664.0
2025-04-12 02:00:00+02:00,2025-04-12,02:00,24206.0
2025-04-12 03:00:00+02:00,2025-04-12,03:00,22905.0
2025-04-12 04:00:00+02:00,2025-04-12,04:00,20772.0
2025-04-12 05:00:00+02:00,2025-04-12,05:00,18348.0
2025-04-12 06:00:00+02:00,2025-04-12,06:00,17502.0
2025-04-12 07:00:00+02:00,2025-04-12,07:00,15463.0
2025-04-12 08:00:00+02:00,2025-04-12,08:00,13946.0
2025-04-12 09:00:00+02:00,2025-04-12,09:00,13799.0
2025-04-12 10:00:00+02:00,2025-04-12,10:00,12739.0
2025-04-12 11:00:00+02:00,2025-04-12,11:00,12630.0
2025-04-12 12:00:00+02:00,2025-04-12,12:00,12098.0
2025-04-12 13:00:00+02:00,2025-04-12,13:00,10553.0
2025-04-12 14:00:00+02:00,2025-04-12,14:00,11340.0
2025-04-12 15:00:00+02:00,2025-04-12,15:00,12155.0
2025-04-12 16:00:00+02:00,2025-04-12,16:00,12287.0
2025-04-12 17:00:00+02:00,2025-04-12,17:00,11725.0
2025-04-12 18:00:00+02:00,2025-04-12,18:00,10660.0
2025-04-12 19:00:00+02:00,2025-04-12,19:00,2570.0
2025-04-12 20:00:00+02:00,2025-04-12,20:00,3189.0
2025-04-12 21:00:00+02:00,2025-04-12,21:00,2777.0
2025-04-12 22:00:00+02:00,2025-04-12,22:00,2824.0
2025-04-12 23:00:00+02:00,2025-04-12,23:00,2599.0
2025-04-13 00:00:00+02:00,2025-04-13,00:00,1931.0
2025-04-13 01:00:00+02:00,2025-04-13,01:00,1980.0
2025-04-13 02:00:00+02:00,2025-04-13,02:00,7498.0
2025-04-13 03:00:00+02:00,2025-04-13,03:00,7193.0
2025-04-13 04:00:00+02:00,2025-04-13,04:00,2028.0
2025-04-13 05:00:00+02:00,2025-04-13,05:00,7843.0
2025-04-13 06:00:00+02:00,2025-04-13,06:00,3853.0
2025-04-13 07:00:00+02:00,2025-04-13,07:00,3229.0
2025-04-13 08:00:00+02:00,2025-04-13,08:00,1433.0
2025-04-13 09:00:00+02:00,2025-04-13,09:00,1161.0
2025-04-13 10:00:00+02:00,2025-04-13,10:00,815.0
2025-04-13 11:00:00+02:00,2025-04-13,11:00,690.0
2025-04-13 12:00:00+02:00,2025-04-13,12:00,775.0
2025-04-13 13:00:00+02:00,2025-04-13,13:00,984.0
2025-04-13 14:00:00+02:00,2025-04-13,14:00,1313.0
2025-04-13 15:00:00+02:00,2025-04-13,15:00,3727.0
2025-04-13 16:00:00+02:00,2025-04-13,16:00,2315.0
2025-04-13 17:00:00+02:00,2025-04-13,17:00,2754.0
2025-04-13 18:00:00+02:00,2025-04-13,18:00,3170.0
2025-04-13 19:00:00+02:00,2025-04-13,19:00,3535.0
2025-04-13 20:00:00+02:00,2025-04-13,20:00,3667.0
2025-04-13 21:00:00+02:00,2025-04-13,21:00,3647.0
2025-04-13 22:00:00+02:00,2025-04-13,22:00,3443.0
2025-04-13 23:00:00+02:00,2025-04-13,23:00,3411.0
2025-04-14 00:00:00+02:00,2025-04-14,00:00,3091.0
2025-04-14 01:00:00+02:00,2025-04-14,01:00,2753.0
2025-04-14 02:00:00+02:00,2025-04-14,02:00,10360.0
2025-04-14 03:00:00+02:00,2025-04-14,03:00,9611.0
2025-04-14 04:00:00+02:00,2025-04-14,04:00,5126.0
2025-04-14 05:00:00+02:00,2025-04-14,05:00,9279.0
2025-04-14 06:00:00+02:00,2025-04-14,06:00,3643.0
2025-04-14 07:00:00+02:00,2025-04-14,07:00,3873.0
2025-04-14 08:00:00+02:00,2025-04-14,08:00,4250.0
2025-04-14 09:00:00+02:00,2025-04-14,09:00,4469.0
2025-04-14 10:00:00+02:00,2025-04-14,10:00,5762.0
2025-04-14 11:00:00+02:00,2025-04-14,11:00,6971.0
2025-04-14 12:00:00+02:00,2025-04-14,12:00,7907.0
2025-04-14 13:00:00+02:00,2025-04-14,13:00,8762.0
2025-04-14 14:00:00+02:00,2025-04-14,14:00,19696.0
2025-04-14 15:00:00+02:00,2025-04-14,15:00,21480.0
2025-04-14 16:00:00+02:00,2025-04-14,16:00,11401.0
2025-04-14 17:00:00+02:00,2025-04-14,17:00,11906.0
2025-04-14 18:00:00+02:00,2025-04-14,18:00,12073.0
2025-04-14 19:00:00+02:00,2025-04-14,19:00,11887.0
2025-04-14 20:00:00+02:00,2025-04-14,20:00,11719.0
2025-04-14 21:00:00+02:00,2025-04-14,21:00,11534.0
2025-04-14 22:00:00+02:00,2025-04-14,22:00,11267.0
2025-04-14 23:00:00+02:00,2025-04-14,23:00,13638.0
2025-04-15 00:00:00+02:00,2025-04-15,00:00,12334.0
2025-04-15 01:00:00+02:00,2025-04-15,01:00,11564.0
2025-04-15 02:00:00+02:00,2025-04-15,02:00,31708.0
2025-04-15 03:00:00+02:00,2025-04-15,03:00,39363.0
2025-04-15 04:00:00+02:00,2025-04-15,04:00,18971.0
2025-04-15 05:00:00+02:00,2025-04-15,05:00,27350.0
2025-04-15 06:00:00+02:00,2025-04-15,06:00,8790.0
2025-04-15 07:00:00+02:00,2025-04-15,07:00,8428.0
2025-04-15 08:00:00+02:00,2025-04-15,08:00,9756.0
2025-04-15 09:00:00+02:00,2025-04-15,09:00,8440.0
