timestamp_local,date,hour,value_mw
2023-01-01 00:00:00+01:00,2023-01-01,00:00,240076.0
2023-01-01 01:00:00+01:00,2023-01-01,01:00,231504.0
2023-01-01 02:00:00+01:00,2023-01-01,02:00,217865.0
2023-01-01 03:00:00+01:00,2023-01-01,03:00,205441.0
2023-01-01 04:00:00+01:00,2023-01-01,04:00,198631.0
2023-01-01 05:00:00+01:00,2023-01-01,05:00,194292.0
2023-01-01 06:00:00+01:00,2023-01-01,06:00,194656.0
2023-01-01 07:00:00+01:00,2023-01-01,07:00,197916.0
2023-01-01 08:00:00+01:00,2023-01-01,08:00,198220.0
2023-01-01 09:00:00+01:00,2023-01-01,09:00,202148.0
2023-01-01 10:00:00+01:00,2023-01-01,10:00,217165.0
2023-01-01 11:00:00+01:00,2023-01-01,11:00,230516.0
2023-01-01 12:00:00+01:00,2023-01-01,12:00,236675.0
2023-01-01 13:00:00+01:00,2023-01-01,13:00,244110.0
2023-01-01 14:00:00+01:00,2023-01-01,14:00,246588.0
2023-01-01 15:00:00+01:00,2023-01-01,15:00,236768.0
2023-01-01 16:00:00+01:00,2023-01-01,16:00,233885.0
2023-01-01 17:00:00+01:00,2023-01-01,17:00,242366.0
2023-01-01 18:00:00+01:00,2023-01-01,18:00,269838.0
2023-01-01 19:00:00+01:00,2023-01-01,19:00,282746.0
2023-01-01 20:00:00+01:00,2023-01-01,20:00,292628.0
2023-01-01 21:00:00+01:00,2023-01-01,21:00,295481.0
2023-01-01 22:00:00+01:00,2023-01-01,22:00,281655.0
2023-01-01 23:00:00+01:00,2023-01-01,23:00,259017.0
2023-01-02 00:00:00+01:00,2023-01-02,00:00,239614.0
2023-01-02 01:00:00+01:00,2023-01-02,01:00,222968.0
2023-01-02 02:00:00+01:00,2023-01-02,02:00,212099.0
2023-01-02 03:00:00+01:00,2023-01-02,03:00,206825.0
2023-01-02 04:00:00+01:00,2023-01-02,04:00,206520.0
2023-01-02 05:00:00+01:00,2023-01-02,05:00,213295.0
2023-01-02 06:00:00+01:00,2023-01-02,06:00,238914.0
2023-01-02 07:00:00+01:00,2023-01-02,07:00,268856.0
2023-01-02 08:00:00+01:00,2023-01-02,08:00,291911.0
2023-01-02 09:00:00+01:00,2023-01-02,09:00,309029.0
2023-01-02 10:00:00+01:00,2023-01-02,10:00,322157.0
2023-01-02 11:00:00+01:00,2023-01-02,11:00,325760.0
2023-01-02 12:00:00+01:00,2023-01-02,12:00,326510.0
2023-01-02 13:00:00+01:00,2023-01-02,13:00,331691.0
2023-01-02 14:00:00+01:00,2023-01-02,14:00,331617.0
2023-01-02 15:00:00+01:00,2023-01-02,15:00,324027.0
2023-01-02 16:00:00+01:00,2023-01-02,16:00,321618.0
2023-01-02 17:00:00+01:00,2023-01-02,17:00,322409.0
2023-01-02 18:00:00+01:00,2023-01-02,18:00,336321.0
2023-01-02 19:00:00+01:00,2023-01-02,19:00,343953.0
2023-01-02 20:00:00+01:00,2023-01-02,20:00,352366.0
2023-01-02 21:00:00+01:00,2023-01-02,21:00,348344.0
2023-01-02 22:00:00+01:00,2023-01-02,22:00,323144.0
2023-01-02 23:00:00+01:00,2023-01-02,23:00,293860.0
2023-01-03 00:00:00+01:00,2023-01-03,00:00,273737.0
2023-01-03 01:00:00+01:00,2023-01-03,01:00,255289.0
2023-01-03 02:00:00+01:00,2023-01-03,02:00,242269.0
2023-01-03 03:00:00+01:00,2023-01-03,03:00,236001.0
2023-01-03 04:00:00+01:00,2023-01-03,04:00,235018.0
2023-01-03 05:00:00+01:00,2023-01-03,05:00,241952.0
2023-01-03 06:00:00+01:00,2023-01-03,06:00,271097.0
2023-01-03 07:00:00+01:00,2023-01-03,07:00,309149.0
2023-01-03 08:00:00+01:00,2023-01-03,08:00,333801.0
2023-01-03 09:00:00+01:00,2023-01-03,09:00,353976.0
2023-01-03 10:00:00+01:00,2023-01-03,10:00,355846.0
2023-01-03 11:00:00+01:00,2023-01-03,11:00,351220.0
2023-01-03 12:00:00+01:00,2023-01-03,12:00,346584.0
2023-01-03 13:00:00+01:00,2023-01-03,13:00,346125.0
2023-01-03 14:00:00+01:00,2023-01-03,14:00,340344.0
2023-01-03 15:00:00+01:00,2023-01-03,15:00,332304.0
2023-01-03 16:00:00+01:00,2023-01-03,16:00,332333.0
2023-01-03 17:00:00+01:00,2023-01-03,17:00,342021.0
2023-01-03 18:00:00+01:00,2023-01-03,18:00,362026.0
2023-01-03 19:00:00+01:00,2023-01-03,19:00,372718.0
2023-01-03 20:00:00+01:00,2023-01-03,20:00,378252.0
2023-01-03 21:00:00+01:00,2023-01-03,21:00,373693.0
2023-01-03 22:00:00+01:00,2023-01-03,22:00,343427.0
2023-01-03 23:00:00+01:00,2023-01-03,23:00,311547.0
2023-01-04 00:00:00+01:00,2023-01-04,00:00,287309.0
2023-01-04 01:00:00+01:00,2023-01-04,01:00,266975.0
2023-01-04 02:00:00+01:00,2023-01-04,02:00,254065.0
2023-01-04 03:00:00+01:00,2023-01-04,03:00,247082.0
2023-01-04 04:00:00+01:00,2023-01-04,04:00,246544.0
2023-01-04 05:00:00+01:00,2023-01-04,05:00,252893.0
2023-01-04 06:00:00+01:00,2023-01-04,06:00,280113.0
2023-01-04 07:00:00+01:00,2023-01-04,07:00,317205.0
2023-01-04 08:00:00+01:00,2023-01-04,08:00,344499.0
